id,motions,code,fit_gun,skin,mail_offset_x,mail_offset_y,mail_scale,skinType,skinLogo,fit_sangvis,is_show
183,"650301,650302,650303,650304,650305,650306,650307,650308,650309,650310,650311,650312,650313,650314,650315,650316,650317,650318,650319,650320,650321,650322,650323,650324,650325",88type_6503,95,6503,,,,1,1,0,1
184,"650301,650302,650303,650304,650305,650306,650307,650308,650309,650310,650311,650312,650313,650314,650315,650316,650317,650318,650319,650320,650321,650322,650323,650324,650325",88typeMod_6503,20095,6503,,,,1,1,0,1
185,"660101,660102,660103,660104,660105,660106,660107,660108,660109,660110,660111,660112,660113,660114,660115,660116,660117,660118,660119,660120",HowaType89_6601,290,6601,,,,1,1,0,1
186,"670101,670102,670103,670104,670105,670106,670107,670108,670109,670110,670111,670112,670113,670114,670115,670116,670117,670118,670119,670120,670121",Vector_6701,20,6701,,,,1,1,0,1
187,"680101,680102,680103,680104,680105,680106,680107,680108,680109,680110,680111,680112,680113,680114,680115,680116,680117,680118,680119,680120",SP9_6801,341,6801,,,,1,1,0,1
188,"690101,690102,690103,690104,690105,690106,690107,690108,690109,690110,690111,690112,690113,690114,690115,690116,690117,690118,690119,690120,690121",Lewis_6901,253,6901,,,,1,1,0,1
189,"710101,710102,710103,710104,710105,710106,710107,710108,710109,710110,710111,710112,710113,710114,710115,710116,710117,710118,710119,710120",ZB26_7101,307,7101,,,,1,1,0,1
190,"710601,710602,710603,710604,710605,710606,710607,710608,710609,710610,710611,710612,710613,710614,710615,710616,710617,710618,710619,710620,710621,710622,710623",88type_7106,95,7106,,,,1,1,0,1
191,"710601,710602,710603,710604,710605,710606,710607,710608,710609,710610,710611,710612,710613,710614,710615,710616,710617,710618,710619,710620,710621,710622,710623",88typeMod_7106,20095,7106,,,,1,1,0,1
192,"720201,720202,720203,720204,720205,720206,720207,720208,720209,720210,720211,720212,720213,720214,720215,720216,720217,720218,720219,720220",95type_7202,129,7202,,,,1,1,0,1
