id,type,special_spot_condition,mission_buff_condition,person_condition
644006801,3,6440068*>0,,
644007001,3,6440070*>0,,
644007101,3,6440071*>0,,
644007201,3,6440072*>0,,
644007301,3,6440073*>0,,
644007501,3,6440075*>0,,
644007601,3,6440076*>0,,
644007701,3,6440077*>0,,
644008101,3,6440081*>0,,
644008201,3,6440082*>0,,
644008301,3,6440083*>0,,
644008401,3,6440084*>0,,
644008501,3,6440085*>0,,
644008601,3,6440086*>0,,
644008701,3,6440087*>0,,
644008801,3,6440088*>0,,
644009001,3,6440090*>0,,
644009101,3,6440091*>0,,
644009201,3,6440092*>0,,
644009301,3,6440093*>0,,
644009401,3,6440094*>0,,
644009501,3,6440095*>0,,
644009601,3,6440096*>0,,
644009701,3,6440097*>0,,
644009801,3,6440098*>0,,
644009901,3,6440099*>0,,
644997301,3,6449973*>0,,
644997401,3,6449974*>0,,
644997503,3,6449975*==3,,
644998901,3,6449989*>0,,
644999601,3,6449996*>0,,
646000201,3,6460002*>0,,
646000301,3,6460003*>0,,
646000401,3,6460004*>0,,
646000501,3,6460005*>0,,
646000601,3,6460006*>0,,
646000701,3,6460007*>0,,
646000801,3,6460008*>0,,
646002001,3,6460020*>0,,
646002101,3,6460021*>0,,
646002201,3,6460022*>0,,
646002301,3,6460023*>0,,
647000101,3,6470001*>0,,
647000201,3,6470002*>0,,
647000301,3,6470003*>0,,
647000401,3,6470004*>0,,
648000300,4,,6480003*==0,
648000400,4,,6480004*==0,
648000401,4,,6480004*>0,
648000501,3,6480005*>0,,
648000601,3,6480006*>0,,
648000701,3,6480007*>0,,
648001801,3,6480018*>0,,
648001901,3,6480019*>0,,
648002001,3,6480020*>0,,
648002201,3,6480022*>0,,
648002301,3,6480023*>0,,
648002401,3,6480024*>0,,
648002501,3,6480025*>0,,
648002801,3,6480028*>0,,
648003101,3,6480031*>0,,
648003201,3,6480032*>0,,
648003301,3,6480033*>0,,
648003401,3,6480034*>0,,
648003701,3,6480037*>0,,
648003901,3,6480039*>0,,
648004001,3,6480040*>0,,
648004101,3,6480041*>0,,
648004301,3,6480043*>0,,
648004401,3,6480044*>0,,
648004500,3,6480045*==0,,
648006901,3,6480069*>0,,
648007001,3,6480070*>0,,
648007400,3,6480074*==0,,
648007501,3,6480075*>0,,
648007601,3,6480076*>0,,
648007701,3,6480077*>0,,
648007801,3,6480078*>0,,
648007901,3,6480079*>0,,
648008001,3,6480080*>0,,
648008101,3,6480081*>0,,
648008201,3,6480082*>0,,
648008301,3,6480083*>0,,
648008401,3,6480084*>0,,
648008501,3,6480085*>0,,
648008601,3,6480086*>0,,
648008701,3,6480087*>0,,
648010900,3,6480109*==0,,
648020501,6,,,6480205*>0
648998101,6,,,6480341*>0
648998201,6,,,6480342*>0
648998301,6,,,6480343*>0
648998401,6,,,6480344*>0
648998501,6,,,6480345*>0
648998601,6,,,6480346*>0
648999101,6,,,6480841*>0
648999201,6,,,6480842*>0
648999301,6,,,6480843*>0
648999401,6,,,6480844*>0
648999501,6,,,6480845*>0
648999601,6,,,6480846*>0
651000101,3,6510001*>0,,
651000201,3,6510002*>0,,
651000241,4,,6510002*>0,
651000301,3,6510003*>0,,
651000341,4,,6510003*>0,
651000401,3,6510004*>0,,
651000441,4,,6510004*>0,
651000501,3,6510005*>0,,
651000601,3,6510006*>0,,
651000701,3,6510007*>0,,
651000801,3,6510008*>0,,
651001041,4,,6510010*>0,
651001101,3,6510011*>0,,
651001231,3,6510012*>0,,
651001241,4,,6510012*>0,
651001301,3,6510013*>0,,
651001341,4,,6510013*>0,
651001431,3,6510014*>0,,
651001441,4,,6510014*>0,
651001501,3,6510015*>0,,
651001601,3,6510016*>0,,
651001701,3,6510017*>0,,
651001801,3,6510018*>0,,
651001861,6,,,6510018*>0
651002101,3,6510021*>0,,
651002201,3,6510022*>0,,
651002261,6,,,6510022*>0
651002301,3,6510023*>0,,
651002401,3,6510024*>0,,
651002501,3,6510025*>0,,
651002601,3,6510026*>0,,
651002701,3,6510027*>0,,
651002801,3,6510028*>0,,
651002901,3,6510029*>0,,
651003001,3,6510030*>0,,
651003101,3,6510031*>0,,
651003201,3,6510032*>0,,
651003301,3,6510033*>0,,
651003401,3,6510034*>0,,
651003501,3,6510035*>0,,
651003601,3,6510036*>0,,
651003701,3,6510037*>0,,
651003801,3,6510038*>0,,
651003901,3,6510039*>0,,
651004001,3,6510040*>0,,
651006101,3,6510061*>0,,
651006201,3,6510062*>0,,
651006500,3,6510065*==0,,
651006501,3,6510065*>0,,
651006801,3,6510068*>0,,
651006901,3,6510069*>0,,
651007001,3,6510070*>0,,
651007101,3,6510071*>0,,
651007201,3,6510072*>0,,
651007301,3,6510073*>0,,
651007401,3,6510074*>0,,
651007501,3,6510075*>0,,
651007601,3,6510076*>0,,
651007701,3,6510077*>0,,
651007801,3,6510078*>0,,
651008201,3,6510082*>0,,
651008901,3,6510089*>0,,
651009001,3,6510090*>0,,
651009101,3,6510091*>0,,
651009500,3,6510095*==0,,
651009501,3,6510095*>0,,
651009601,3,6510096*>0,,
651009701,3,6510097*>0,,
651009801,3,6510098*>0,,
651009901,3,6510099*>0,,
651010001,3,6510100*>0,,
651010101,3,6510101*>0,,
651010201,3,6510102*>0,,
651010301,3,6510103*>0,,
651010401,3,6510104*>0,,
651010501,3,6510105*>0,,
651010601,3,6510106*>0,,
651010801,3,6510108*>0,,
651010901,3,6510109*>0,,
651011101,3,6510111*>0,,
651011601,3,6510116*>0,,
651011801,3,6510118*>0,,
651012001,3,6510120*>0,,
651012101,3,6510121*>0,,
651013001,3,6510130*>0,,
651013102,3,6510131*>1,,
651013202,3,6510132*>1,,
651013302,3,6510133*>1,,
651013402,3,6510134*>1,,
651013502,3,6510135*>1,,
651013602,3,6510136*>1,,
651014201,3,6510142*>0,,
651014701,3,6510147*>0,,
651014801,3,6510148*>0,,
651015001,3,6510150*>0,,
651015531,3,6510155*>8,,
651015601,3,6510156*>0,,
651015631,3,6510156*>0,,
651018851,6,,,6510013*>0
651018852,6,,,6510014*>0
651018853,6,,,6510015*>0
651018951,5,,,6511104*>0
651018952,5,,,6512106*>0
651018953,5,,,6513106*>0
651018954,5,,,6511108*>0
651018955,5,,,6512111*>0
651018956,5,,,6513111*>0
651130161,6,,,6511301*>0
651220301,6,,,6512203*>0
651220401,6,,,6512204*>0
651230161,6,,,6512301*>0
651320301,6,,,6513203*>0
651320401,6,,,6513204*>0
651330161,6,,,6513301*>0
812030191,3,"1010100*>0,1020101*>0,1020201*>0,1020301*>0,1020401*>0",,
812071690,3,8120716*==0,,
812071691,3,8120716*>0,,
812071790,3,8120717*==0,,
812071791,3,8120717*>0,,
812071890,3,8120718*==0,,
812071891,3,8120718*>0,,
903212001,3,"1020101*>0,1020201*>0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
903212002,3,"1020101*==0,1020201*>0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
903212003,3,"1020101*>0,1020201*==0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
903212004,3,"1020101*>0,1020201*>0,1020301*==0,1020401*>0,1020701*>0,1010100*>0",,
903212005,3,"1020101*>0,1020201*>0,1020301*>0,1020401*==0,1020701*>0,1010100*>0",,
903212006,3,"1020101*>0,1020201*>0,1020301*>0,1020401*>0,1020701*==0,1010100*>0",,
903212007,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021201*>0,1010200*>0",,
903212008,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021301*>0,1010200*>0",,
903212009,3,"1010201*==0,1010301*==0,1021001*>0,1021201*>0,1021301*>0,1010200*>0",,
903212010,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021201*>0,1010300*>0",,
903212011,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021301*>0,1010300*>0",,
903212012,3,"1010201*==0,1010301*==0,1021001*>0,1021201*>0,1021301*>0,1010300*>0",,
903212013,3,"1010201*==0,1010301*==0,1021001*==0,1021101*==0,1021201*>0,1021301*>0,1010200*>0",,
903212014,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*==0,1021301*>0,1010200*>0",,
903212015,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*==0,1010200*>0",,
903212016,3,"1010201*==0,1010301*==0,1021001*==0,1021101*==0,1021201*>0,1021301*>0,1010300*>0",,
903212017,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*==0,1021301*>0,1010300*>0",,
903212018,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*==0,1010300*>0",,
903212019,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*>0,1010200*>0",,
903212020,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*>0,1010200*>0",,
903212021,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*==0,1021301*>0,1010200*>0",,
903212022,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*==0,1010200*>0",,
903212023,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*>0,1010200*>0",,
903212024,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*==0,1010200*>0",,
903212025,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*==0,1010200*>0",,
903212026,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*>0,1010300*>0",,
903212027,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*>0,1010300*>0",,
903212028,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*==0,1021301*>0,1010300*>0",,
903212029,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*==0,1010300*>0",,
903212030,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*>0,1010300*>0",,
903212031,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*==0,1010300*>0",,
903212032,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*==0,1010300*>0",,
903212033,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*==0,1021301*==0",,
903212034,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*==0,1021301*==0",,
903212035,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*>0,1021301*==0",,
903212036,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*==0,1021301*>0",,
903212037,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*==0,1021301*==0",,
903212038,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*==0,1021301*==0",,
903212039,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*>0,1021301*==0",,
903212040,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*==0,1021301*>0",,
903212041,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*==0,1021301*>0",,
903212042,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*==0,1021301*>0",,
903212043,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*>0,1021301*>0",,
903212044,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*>0,1021301*>0",,
903212045,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*>0,1021301*>0",,
903212046,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*>0,1021201*==0,1021301*>0",,
903212047,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*==0,1021301*>0",,
903212048,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*==0,1021301*>0",,
903212049,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*>0,1021301*>0",,
903212050,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*>0,1021301*>0",,
903212051,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*>0,1021301*>0",,
903212052,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*>0,1021201*==0,1021301*>0",,
903212053,3,"1010200*>0,1010201*==0,1021001*==0",,
903212054,3,"1010200*>0,1010201*==0,1021101*==0",,
903212055,3,"1010200*>0,1010201*==0,1021201*==0",,
903212056,3,"1010200*>0,1010201*==0,1021301*==0",,
903212057,3,"1010300*>0,1010301*==0,1021001*==0",,
903212058,3,"1010300*>0,1010301*==0,1021101*==0",,
903212059,3,"1010300*>0,1010301*==0,1021201*==0",,
903212060,3,"1010300*>0,1010301*==0,1021301*==0",,
903212061,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*>0,1010200*>0",,
903212062,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*>0,1010300*>0",,
903212063,3,"1010201*==0,1010301*==0,1021001*>0,1021100*>0,1021201*==0,1021301*==0",,
903215001,3,"1000100*>0,1000300*>0",,
910000180,4,,9100001*==0,
910000181,4,,9100001*>0,
910000190,3,9100001*==0,,
910000191,3,9100001*>0,,
910000280,4,,9100002*==0,
910000281,4,,9100002*>0,
910000290,3,9100002*==0,,
910000291,3,9100002*>0,,
910000380,4,,9100003*==0,
910000381,4,,9100003*>0,
910000390,3,9100003*==0,,
910000391,3,9100003*>0,,
910000480,4,,9100004*==0,
910000481,4,,9100004*>0,
910000490,3,9100004*==0,,
910000491,3,9100004*>0,,
910000580,4,,9100005*==0,
910000581,4,,9100005*>0,
910000590,3,9100005*==0,,
910000591,3,9100005*>0,,
910000680,4,,9100006*==0,
910000681,4,,9100006*>0,
910000690,3,9100006*==0,,
910000691,3,9100006*>0,,
910000780,4,,9100007*==0,
910000781,4,,9100007*>0,
910000790,3,9100007*==0,,
910000791,3,9100007*>0,,
910000880,4,,9100008*==0,
910000881,4,,9100008*>0,
910000890,3,9100008*==0,,
910000891,3,9100008*>0,,
910000980,4,,9100009*==0,
910000981,4,,9100009*>0,
910000990,3,9100009*==0,,
910000991,3,9100009*>0,,
910001080,4,,9100010*==0,
910001081,4,,9100010*>0,
910001090,3,9100010*==0,,
910001091,3,9100010*>0,,
910001180,4,,9100011*==0,
910001181,4,,9100011*>0,
910001190,3,9100011*==0,,
910001191,3,9100011*>0,,
910001280,4,,9100012*==0,
910001281,4,,9100012*>0,
910001290,3,9100012*==0,,
910001291,3,9100012*>0,,
910001380,4,,9100013*==0,
910001381,4,,9100013*>0,
910001390,3,9100013*==0,,
910001391,3,9100013*>0,,
910001480,4,,9100014*==0,
910001481,4,,9100014*>0,
910001490,3,9100014*==0,,
910001491,3,9100014*>0,,
910001580,4,,9100015*==0,
910001581,4,,9100015*>0,
910001590,3,9100015*==0,,
910001591,3,9100015*>0,,
910001680,4,,9100016*==0,
910001681,4,,9100016*>0,
910001690,3,9100016*==0,,
910001691,3,9100016*>0,,
910001780,4,,9100017*==0,
910001781,4,,9100017*>0,
910001790,3,9100017*==0,,
910001791,3,9100017*>0,,
910001880,4,,9100018*==0,
910001881,4,,9100018*>0,
910001890,3,9100018*==0,,
910001891,3,9100018*>0,,
910001980,4,,9100019*==0,
910001981,4,,9100019*>0,
910001990,3,9100019*==0,,
910001991,3,9100019*>0,,
910002080,4,,9100020*==0,
910002081,4,,9100020*>0,
910002090,3,9100020*==0,,
910002091,3,9100020*>0,,
910002180,4,,9100021*==0,
910002181,4,,9100021*>0,
910002190,3,9100021*==0,,
910002191,3,9100021*>0,,
910002280,4,,9100022*==0,
910002281,4,,9100022*>0,
910002290,3,9100022*==0,,
910002291,3,9100022*>0,,
910002380,4,,9100023*==0,
910002381,4,,9100023*>0,
910002390,3,9100023*==0,,
910002391,3,9100023*>0,,
910002480,4,,9100024*==0,
910002481,4,,9100024*>0,
910002490,3,9100024*==0,,
910002491,3,9100024*>0,,
910002580,4,,9100025*==0,
910002581,4,,9100025*>0,
910002590,3,9100025*==0,,
910002591,3,9100025*>0,,
910002680,4,,9100026*==0,
910002681,4,,9100026*>0,
910002690,3,9100026*==0,,
910002691,3,9100026*>0,,
910002780,4,,9100027*==0,
910002781,4,,9100027*>0,
910002790,3,9100027*==0,,
910002791,3,9100027*>0,,
910002880,4,,9100028*==0,
910002881,4,,9100028*>0,
910002890,3,9100028*==0,,
910002891,3,9100028*>0,,
910002980,4,,9100029*==0,
910002981,4,,9100029*>0,
910002990,3,9100029*==0,,
910002991,3,9100029*>0,,
910003080,4,,9100030*==0,
910003081,4,,9100030*>0,
910003090,3,9100030*==0,,
910003091,3,9100030*>0,,
910003180,4,,9100031*==0,
910003181,4,,9100031*>0,
910003190,3,9100031*==0,,
910003191,3,9100031*>0,,
910003280,4,,9100032*==0,
910003281,4,,9100032*>0,
910003290,3,9100032*==0,,
910003291,3,9100032*>0,,
910003380,4,,9100033*==0,
910003381,4,,9100033*>0,
910003390,3,9100033*==0,,
910003391,3,9100033*>0,,
910003480,4,,9100034*==0,
910003481,4,,9100034*>0,
910003490,3,9100034*==0,,
910003491,3,9100034*>0,,
910003580,4,,9100035*==0,
910003581,4,,9100035*>0,
910003590,3,9100035*==0,,
910003591,3,9100035*>0,,
910003680,4,,9100036*==0,
910003681,4,,9100036*>0,
910003690,3,9100036*==0,,
910003691,3,9100036*>0,,
910003780,4,,9100037*==0,
910003781,4,,9100037*>0,
910003790,3,9100037*==0,,
910003791,3,9100037*>0,,
910003880,4,,9100038*==0,
910003881,4,,9100038*>0,
910003890,3,9100038*==0,,
910003891,3,9100038*>0,,
910003980,4,,9100039*==0,
910003981,4,,9100039*>0,
910003990,3,9100039*==0,,
910003991,3,9100039*>0,,
910004080,4,,9100040*==0,
910004081,4,,9100040*>0,
910004090,3,9100040*==0,,
910004091,3,9100040*>0,,
910004180,4,,9100041*==0,
910004181,4,,9100041*>0,
910004190,3,9100041*==0,,
910004191,3,9100041*>0,,
910004280,4,,9100042*==0,
910004281,4,,9100042*>0,
910004290,3,9100042*==0,,
910004291,3,9100042*>0,,
910004380,4,,9100043*==0,
910004381,4,,9100043*>0,
910004390,3,9100043*==0,,
910004391,3,9100043*>0,,
910004480,4,,9100044*==0,
910004481,4,,9100044*>0,
910004490,3,9100044*==0,,
910004491,3,9100044*>0,,
910004580,4,,9100045*==0,
910004581,4,,9100045*>0,
910004590,3,9100045*==0,,
910004591,3,9100045*>0,,
910004680,4,,9100046*==0,
910004681,4,,9100046*>0,
910004690,3,9100046*==0,,
910004691,3,9100046*>0,,
910004780,4,,9100047*==0,
910004781,4,,9100047*>0,
910004790,3,9100047*==0,,
910004791,3,9100047*>0,,
910004880,4,,9100048*==0,
910004881,4,,9100048*>0,
910004890,3,9100048*==0,,
910004891,3,9100048*>0,,
910004980,4,,9100049*==0,
910004981,4,,9100049*>0,
910004990,3,9100049*==0,,
910004991,3,9100049*>0,,
910005080,4,,9100050*==0,
910005081,4,,9100050*>0,
910005090,3,9100050*==0,,
910005091,3,9100050*>0,,
910005180,4,,9100051*==0,
910005181,4,,9100051*>0,
910005190,3,9100051*==0,,
910005191,3,9100051*>0,,
910005280,4,,9100052*==0,
910005281,4,,9100052*>0,
910005290,3,9100052*==0,,
910005291,3,9100052*>0,,
910005380,4,,9100053*==0,
910005381,4,,9100053*>0,
910005390,3,9100053*==0,,
910005391,3,9100053*>0,,
910005480,4,,9100054*==0,
910005481,4,,9100054*>0,
910005490,3,9100054*==0,,
910005491,3,9100054*>0,,
910005580,4,,9100055*==0,
910005581,4,,9100055*>0,
910005590,3,9100055*==0,,
910005591,3,9100055*>0,,
910005680,4,,9100056*==0,
910005681,4,,9100056*>0,
910005690,3,9100056*==0,,
910005691,3,9100056*>0,,
910005780,4,,9100057*==0,
910005781,4,,9100057*>0,
910005790,3,9100057*==0,,
910005791,3,9100057*>0,,
910005880,4,,9100058*==0,
910005881,4,,9100058*>0,
910005890,3,9100058*==0,,
910005891,3,9100058*>0,,
910005980,4,,9100059*==0,
910005981,4,,9100059*>0,
910005990,3,9100059*==0,,
910005991,3,9100059*>0,,
910006080,4,,9100060*==0,
910006081,4,,9100060*>0,
910006090,3,9100060*==0,,
910006091,3,9100060*>0,,
913050390,3,9130503*==0,,
913050391,3,9130503*>0,,
913060191,3,"1020101*>0,1020201*>0,1020301*>0",,
913060291,3,"1020101*==0,1020201*==0,1020301*==0",,
913060391,3,"1020101*==0,1020201*>0,1020301*>0",,
913060491,3,"1020101*>0,1020201*==0,1020301*>0",,
913060591,3,"1020101*>0,1020201*>0,1020301*==0",,
913060691,3,"1020101*>0,1020201*==0,1020301*==0",,
913060791,3,"1020101*==0,1020201*>0,1020301*==0",,
913060891,3,"1020101*==0,1020201*==0,1020301*>0",,
913060991,3,9130604*>0,,
920000180,4,,9200001*==0,
920000181,4,,9200001*>0,
920000190,3,9200001*==0,,
920000191,3,9200001*>0,,
920000280,4,,9200002*==0,
920000281,4,,9200002*>0,
930000190,3,9300001*==0,,
930000191,3,9300001*>0,,
930000290,3,9300002*==0,,
930000291,3,9300002*>0,,
930000390,3,9300003*==0,,
930000391,3,9300003*>0,,
930000490,3,9300004*==0,,
930000491,3,9300004*>0,,
930000590,3,9300005*==0,,
930000591,3,9300005*>0,,
930000690,3,9300006*==0,,
930000691,3,9300006*>0,,
930000790,3,9300007*==0,,
930000791,3,9300007*>0,,
930000890,3,9300008*==0,,
930000891,3,9300008*>0,,
930000990,3,9300009*==0,,
930000991,3,9300009*>0,,
930001090,3,9300010*==0,,
930001091,3,9300010*>0,,
930001190,3,9300011*==0,,
930001191,3,9300011*>0,,
930001290,3,9300012*==0,,
930001291,3,9300012*>0,,
930001390,3,9300013*==0,,
930001391,3,9300013*>0,,
933210100,3,9332101*==0,,
933210101,3,9332101*>0,,
933210200,3,9332102*==0,,
933210201,3,9332102*>0,,
933210300,3,9332103*==0,,
933210301,3,9332103*>0,,
933210400,3,9332104*==0,,
933210401,3,9332104*>0,,
933210600,3,9332106*==0,,
933210601,3,9332106*>0,,
933210700,3,9332107*==0,,
933210701,3,9332107*>0,,
933210800,3,9332108*==0,,
933210801,3,9332108*>0,,
933210900,3,9332109*==0,,
933210901,3,9332109*>0,,
933211000,3,9332110*==0,,
933211001,3,9332110*>0,,
933211100,3,9332111*==0,,
933211101,3,9332111*>0,,
933211600,3,9332116*==0,,
933211601,3,9332116*>0,,
933300000,3,9333000*==0,,
933300001,3,9333000*>0,,
933300100,3,9333001*==0,,
933300101,3,9333001*>0,,
933301000,3,9333010*==0,,
933301001,3,9333010*>0,,
933301100,3,9333011*==0,,
933301101,3,9333011*>0,,
933320000,3,9333200*==0,,
933320001,3,9333200*>0,,
933320100,3,9333201*==0,,
933320101,3,9333201*>0,,
933321000,3,9333210*==0,,
933321001,3,9333210*>0,,
933321100,3,9333211*==0,,
933321101,3,9333211*>0,,
933322000,3,9333220*==0,,
933322001,3,9333220*>0,,
933322100,3,9333221*==0,,
933322101,3,9333221*>0,,
933323000,3,9333230*==0,,
933323001,3,9333230*>0,,
933323100,3,9333231*==0,,
933323101,3,9333231*>0,,
933324000,3,9333240*==0,,
933324001,3,9333240*>0,,
933324100,3,9333241*==0,,
933324101,3,9333241*>0,,
933360100,3,9333601*==0,,
933360101,3,9333601*>0,,
933360200,3,9333602*==0,,
933360201,3,9333602*>0,,
933360300,3,9333603*==0,,
933360301,3,9333603*>0,,
933360400,3,9333604*==0,,
933360401,3,9333604*>0,,
933530290,3,9335302*==0,,
933530291,3,9335302*>0,,
933610190,3,"1010100*>0,1010101*==0,1010201*==0",,
933610191,3,"1010200*>0,1010101*==0,1010201*==0",,
933900200,3,9333002*==0,,
933900201,3,9333002*>0,,
936170101,3,9361701*>0,,
936170201,3,9361702*>0,,
936170301,3,9361703*>0,,
936170401,3,9361704*>0,,
936170501,3,9361705*>0,,
936170601,3,9361706*>0,,
936170701,3,9361707*>0,,
936170801,3,9361708*>0,,
936171101,3,9361711*>0,,
936171201,3,9361712*>0,,
936171301,3,9361713*>0,,
936171401,3,9361714*>0,,
936171501,3,9361715*>0,,
936171601,3,9361716*>0,,
936171701,3,9361717*>0,,
936171801,3,9361718*>0,,
936171901,3,9361719*>0,,
936172001,3,9361720*>0,,
936172101,3,9361721*>0,,
936172201,3,9361722*>0,,
936173100,3,9361731*==0,,
936173101,3,9361731*>0,,
936173200,3,9361732*==0,,
936173201,3,9361732*>0,,
936173300,3,9361733*==0,,
936173301,3,9361733*>0,,
936173400,3,9361734*==0,,
936173401,3,9361734*>0,,
936173500,3,9361735*==0,,
936173501,3,9361735*>0,,
936173600,3,9361736*==0,,
936173601,3,9361736*>0,,
936173700,3,9361737*==0,,
936173701,3,9361737*>0,,
936173800,3,9361738*==0,,
936173801,3,9361738*>0,,
936173900,3,9361739*==0,,
936173901,3,9361739*>0,,
936174000,3,9361740*==0,,
936174001,3,9361740*>0,,
936174100,3,9361741*==0,,
936174101,3,9361741*>0,,
936174200,3,9361742*==0,,
936174201,3,9361742*>0,,
936175100,3,9361751*==0,,
936175101,3,9361751*>0,,
936175200,3,9361752*==0,,
936175201,3,9361752*>0,,
936175300,3,9361753*==0,,
936175301,3,9361753*>0,,
936175400,3,9361754*==0,,
936175401,3,9361754*>0,,
936175500,3,9361755*==0,,
936175501,3,9361755*>0,,
936175600,3,9361756*==0,,
936175601,3,9361756*>0,,
936175700,3,9361757*==0,,
936175701,3,9361757*>0,,
936175800,3,9361758*==0,,
936175801,3,9361758*>0,,
936175900,3,9361759*==0,,
936175901,3,9361759*>0,,
936176000,3,9361760*==0,,
936176001,3,9361760*>0,,
936176100,3,9361761*==0,,
936176101,3,9361761*>0,,
936176200,3,9361762*==0,,
936176201,3,9361762*>0,,
936180101,3,9361801*>0,,
936180201,3,9361804*>0,,
936180301,4,,1000006*>0,
936180302,2,,1000006*>0,
936180501,4,,1000006*==0,
936200101,3,9362001*>0,,
936200200,3,9362002*==0,,
936201001,3,9362010*>0,,
936201101,3,9362011*>0,,
936201201,3,9362012*>0,,
936203101,3,9362031*>0,,
936203201,3,9362032*>0,,
936340000,3,9363400*==0,,
936340101,3,9363401*>0,,
936340201,3,9363402*>0,,
936380191,3,"1000100*>0,100300*==0,1000001*==0,1000068*>0",,
936380291,3,"1000200*>0,100300*==0,1000001*==0,1000068*>0",,
936390001,3,"1000100*>0,1000068*>0,1000001*==0,9300001*>0,9300002*==0",,
936390002,3,"1000200*>0,1000068*>0,1000001*==0,9300001*>0,9300002*==0",,
936390003,3,"1000100*>0,1000068*>0,1000001*==0,9300002*>0,9300001*==0",,
936390004,3,"1000200*>0,1000068*>0,1000001*==0,9300002*>0,9300001*==0",,
936390005,3,"1000100*>0,1000068*>0,1000001*==0,9300001*>0",,
936390006,3,"1000200*>0,1000068*>0,1000001*==0,9300001*>0",,
936390007,3,"1000100*>0,1000068*>0,1000001*==0,9300002*>0",,
936390008,3,"1000200*>0,1000068*>0,1000001*==0,9300002*>0",,
936390190,3,9363901*==0,,
936390191,3,9363901*>0,,
936390290,3,9363902*==0,,
936390291,3,9363902*>0,,
937020101,3,9370201*>0,,
937021101,3,9370211*>0,,
937022100,3,9370221*==0,,
937022101,3,9370221*>0,,
937023100,3,9370231*==0,,
937023101,3,9370231*>0,,
937040101,3,9370401*>0,,
937041101,3,9370411*>0,,
937042100,3,9370421*==0,,
937042101,3,9370421*>0,,
937043100,3,9370431*==0,,
937043101,3,9370431*>0,,
937050101,3,9370501*>0,,
